ORDER_ID,CUSTOMER_NAME,LINE_REVENUE
O0002,Zanele Mbeki,606.84
O0009,Michael Els,1959.45
O0010,Naledi Naidoo,2928.30
O0016,Grace Van der Merwe,3560.60
O0024,Zanele Mokoena,440.25
O0037,Sipho Els,303.42
O0041,Ayanda Mokoena,3491.12
O0046,Ayanda Ndlovu,1087.57
O0051,Ayanda Mokoena,88.05
O0064,Lerato Fourie,4363.90
O0103,Ayanda Coetzee,715.30
O0044,Fatima Sithole,310.68
O0047,Grace Van der Merwe,103.56
O0060,David Fourie,2175.14
O0078,Ayanda Ndlovu,3262.71
O0091,David Mbeki,606.84
O0101,Kagiso Naidoo,1175.67
O0106,Chloe Dlamini,621.96
O0130,Lerato Khumalo,303.42
O0142,Michael Mbeki,4363.90
O0027,Naledi Dlamini,2618.34
O0029,Karabo Nkosi,437.82
O0066,Naledi Fourie,345.54
O0087,Michael Naidoo,725.36
O0109,David Mbeki,4273.08
O0055,Naledi Dlamini,2101.17
O0079,Ayanda Mokoena,3279.25
O0084,Kagiso Mbeki,715.30
O0092,David Fourie,3501.95
O0099,David Mbeki,264.15
O0134,Grace Van der Merwe,264.15
O0137,Naledi Fourie,575.90
O0076,Karabo Nkosi,900.16
O0071,Michael Els,466.47
O0136,Zanele Mokoena,2928.30
O0018,Thabo Van der Merwe,5341.35
O0021,Nomvula Coetzee,2928.30
O0028,Naledi Ndlovu,1745.56
O0033,Kagiso Dlamini,115.18
O0059,Pieter Coetzee,291.88
O0090,Naledi Ndlovu,103.56
O0105,Sipho Ndlovu,2956.20
O0144,Johan Mahlangu,3204.81
O0148,Zanele Dlamini,621.96
O0095,Karabo Nkosi,3419.70
O0100,Fatima Sithole,1367.88
O0110,Zanele Nkosi,460.72
O0111,Chloe Dlamini,4450.75
O0133,Pieter Botha,3695.25
O0147,Karabo Nkosi,450.08
O0065,Naledi Coetzee,2928.30
O0083,Nomvula Pretorius,3419.70
O0098,Lerato Mokoena,1870.98
O0102,Naledi Ndlovu,2618.34
O0122,Naledi Coetzee,357.65
O0008,Aisha Fourie,1745.56
O0069,Sipho Els,3279.25
O0093,Sarah Pretorius,1171.32
O0031,Michael Els,1068.27
O0036,Michael Els,3419.70
O0043,Kagiso Naidoo,1756.98
O0048,Aisha Ndlovu,2136.54
O0054,Nomvula Coetzee,2801.56
O0063,Pieter Botha,890.15
O0072,Karabo Nkosi,455.13
O0073,Sam Van der Merwe,583.76
O0082,Lerato Mokoena,700.39
O0086,Zanele Van der Merwe,2175.14
O0088,Sarah Pretorius,3279.25
O0107,Chloe Dlamini,2342.64
O0113,Kagiso Naidoo,655.85
O0117,Pieter Botha,1068.27
O0067,Naledi Fourie,725.36
O0068,Kagiso Van der Merwe,3204.81
O0115,Johan Mahlangu,2801.56
O0143,Fatima Sithole,2494.64
O0145,Naledi Ndlovu,1430.60
O0070,Ayanda Coetzee,2956.20
O0007,Ayanda Coetzee,1567.56
O0011,Zanele Nkosi,715.30
O0032,Ayanda Coetzee,2217.15
O0040,Nomvula Pretorius,2176.08
O0129,Fatima Sithole,575.90
O0017,Zanele Van der Merwe,1478.10
O0026,Karabo Nkosi,5341.35
O0052,Pieter Coetzee,3560.60
O0056,Chloe Dlamini,176.10
O0057,Grace Van der Merwe,151.71
O0096,Naledi Dlamini,1959.45
O0116,Kagiso Dlamini,725.36
O0120,Naledi Dlamini,2217.15
O0135,Fatima Botha,725.36
O0141,Naledi Fourie,3501.95
O0062,Fatima Sithole,4363.90
O0121,Kagiso Mbeki,1800.32
O0125,David Mbeki,2175.14
O0128,Zanele Mokoena,2217.15
O0149,Ayanda Mokoena,345.54
O0001,Naledi Ndlovu,2494.64
O0004,Johan Mahlangu,585.66
O0014,Nomvula Coetzee,1800.32
O0015,Naledi Coetzee,1567.56
O0022,David Fourie,3501.95
O0042,Naledi Coetzee,2342.64
O0053,Michael Els,207.12
O0081,Kagiso Fourie,2956.20
O0085,Fatima Botha,291.88
O0132,Sipho Els,4273.08
O0020,Chloe Nkosi,3118.30
O0049,Naledi Fourie,310.68
O0050,Aisha Ndlovu,1756.98
O0034,Naledi Ndlovu,230.36
O0112,Lerato Khumalo,176.10
O0123,Lerato Mokoena,2670.45
O0140,Nomvula Ndlovu,783.78
O0003,Pieter Coetzee,2623.40
O0005,Thabo Van der Merwe,1350.24
O0012,Nomvula Coetzee,2623.40
O0039,Lerato Mokoena,2670.45
O0080,Lerato Khumalo,621.96
O0094,Lerato Fourie,1567.56
O0108,Kagiso Van der Merwe,1068.27
O0023,Michael Els,88.05
O0038,Naledi Coetzee,151.71
O0114,Kagiso Van der Merwe,621.96
O0118,David Fourie,2623.40
O0139,Zanele Dlamini,455.13
O0124,David Fourie,357.65
O0126,Zanele Mbeki,2175.14
O0131,Sipho Els,151.71
O0138,Michael Mbeki,621.96
O0006,Naledi Naidoo,176.10
O0013,Ayanda Mokoena,450.08
O0019,Thabo Van der Merwe,155.49
O0025,Sipho Els,2901.44
O0030,David Mbeki,1430.60
O0035,Kagiso Fourie,2670.45
O0045,Nomvula Coetzee,1567.56
O0075,Ayanda Ndlovu,414.24
O0097,Naledi Fourie,1780.30
O0058,Michael Naidoo,352.20
O0061,Pieter Botha,155.49
O0089,Zanele Mbeki,1800.32
O0104,David Fourie,900.16
O0119,Aisha Fourie,2342.64
O0146,Naledi Ndlovu,1959.45
O0150,Kagiso Mbeki,4363.90
O0074,Naledi Dlamini,1350.24
O0077,Michael Els,4273.08
O0127,Naledi Ndlovu,103.56
